"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"30-34",2019,"5+",0,0
"35-39",2019,"5+",0,0
"40-44",2019,"5+",0,0
"45-49",2019,"5+",0,0
"15-19",2020,"0",0.0671999999999934,0.0134399999999987
"15-19",2021,"0",0.0581999999999948,0.011639999999999
"15-19",2022,"0",0.0491999999999939,0.00983999999999878
"15-19",2023,"0",0.040199999999993,0.0080399999999986
"15-19",2024,"0",0.0311999999999944,0.00623999999999887
"15-19",2025,"0",0.0221999999999935,0.00443999999999869
"15-19",2026,"0",0.0131999999999925,0.00263999999999851
"15-19",2027,"0",0.00419999999999391,0.000839999999998781
"15-19",2028,"0",0,0
"15-19",2029,"0",0,0
"15-19",2030,"0",0,0
"15-19",2031,"0",0,0
"15-19",2032,"0",0,0
"15-19",2033,"0",0,0
"15-19",2034,"0",0,0
"15-19",2035,"0",0,0
"15-19",2036,"0",0,0
"15-19",2037,"0",0,0
"15-19",2038,"0",0,0
"15-19",2039,"0",0,0
"15-19",2040,"0",0,0
"15-19",2020,"1",0.0074999999999995,0.0014999999999999
"15-19",2021,"1",0.00659999999999933,0.00131999999999987
"15-19",2022,"1",0.00569999999999951,0.0011399999999999
"15-19",2023,"1",0.00479999999999933,0.000959999999999866
"15-19",2024,"1",0.00389999999999951,0.000779999999999902
"15-19",2025,"1",0.0029999999999994,0.000599999999999881
"15-19",2026,"1",0.00240000000000009,0.000480000000000018
"15-19",2027,"1",0.00260000000000012,0.000520000000000024
"15-19",2028,"1",0.00280000000000008,0.000560000000000016
"15-19",2029,"1",0.00300000000000011,0.000600000000000023
"15-19",2030,"1",0.00320000000000007,0.000640000000000015
"15-19",2031,"1",0.00340000000000011,0.000680000000000021
"15-19",2032,"1",0.00360000000000014,0.000720000000000027
"15-19",2033,"1",0.0038000000000001,0.000760000000000019
"15-19",2034,"1",0.00400000000000013,0.000800000000000026
"15-19",2035,"1",0.00420000000000009,0.000840000000000018
"15-19",2036,"1",0.00440000000000012,0.000880000000000024
"15-19",2037,"1",0.00460000000000015,0.00092000000000003
"15-19",2038,"1",0.00480000000000011,0.000960000000000022
"15-19",2039,"1",0.00500000000000014,0.00100000000000003
"15-19",2040,"1",0.0052000000000001,0.00104000000000002
"15-19",2020,"2",0.00120000000000012,0.000240000000000023
"15-19",2021,"2",0.00140000000000008,0.000280000000000015
"15-19",2022,"2",0.00160000000000011,0.000320000000000022
"15-19",2023,"2",0.00180000000000007,0.000360000000000014
"15-19",2024,"2",0.0020000000000001,0.00040000000000002
"15-19",2025,"2",0.00220000000000013,0.000440000000000026
"15-19",2026,"2",0.00240000000000009,0.000480000000000018
"15-19",2027,"2",0.00260000000000012,0.000520000000000024
"15-19",2028,"2",0.00280000000000008,0.000560000000000016
"15-19",2029,"2",0.00300000000000011,0.000600000000000023
"15-19",2030,"2",0.00320000000000007,0.000640000000000015
"15-19",2031,"2",0.00340000000000011,0.000680000000000021
"15-19",2032,"2",0.00360000000000014,0.000720000000000027
"15-19",2033,"2",0.0038000000000001,0.000760000000000019
"15-19",2034,"2",0.00400000000000013,0.000800000000000026
"15-19",2035,"2",0.00420000000000009,0.000840000000000018
"15-19",2036,"2",0.00440000000000012,0.000880000000000024
"15-19",2037,"2",0.00460000000000015,0.00092000000000003
"15-19",2038,"2",0.00480000000000011,0.000960000000000022
"15-19",2039,"2",0.00500000000000014,0.00100000000000003
"15-19",2040,"2",0.0052000000000001,0.00104000000000002
"15-19",2020,"3",0,0
"15-19",2021,"3",0,0
"15-19",2022,"3",0,0
"15-19",2023,"3",0,0
"15-19",2024,"3",0,0
"15-19",2025,"3",0,0
"15-19",2026,"3",0,0
"15-19",2027,"3",0,0
"15-19",2028,"3",0,0
"15-19",2029,"3",0,0
"15-19",2030,"3",0,0
"15-19",2031,"3",0,0
"15-19",2032,"3",0,0
"15-19",2033,"3",0,0
"15-19",2034,"3",0,0
"15-19",2035,"3",0,0
"15-19",2036,"3",0,0
"15-19",2037,"3",0,0
"15-19",2038,"3",0,0
"15-19",2039,"3",0,0
"15-19",2040,"3",0,0
"15-19",2020,"4",0,0
"15-19",2021,"4",0,0
"15-19",2022,"4",0,0
"15-19",2023,"4",0,0
"15-19",2024,"4",0,0
"15-19",2025,"4",0,0
"15-19",2026,"4",0,0
"15-19",2027,"4",0,0
"15-19",2028,"4",0,0
"15-19",2029,"4",0,0
"15-19",2030,"4",0,0
"15-19",2031,"4",0,0
"15-19",2032,"4",0,0
"15-19",2033,"4",0,0
"15-19",2034,"4",0,0
