"Age_cat","Year","Num_child","Percentage","probs"
"40-44",2035,"2",33.9000000000003,0.339000000000003
"40-44",2036,"2",34.2700000000003,0.342700000000003
"40-44",2037,"2",34.6400000000003,0.346400000000003
"40-44",2038,"2",35.0100000000003,0.350100000000003
"40-44",2039,"2",35.3800000000003,0.353800000000003
"40-44",2040,"2",35.7500000000003,0.357500000000003
"40-44",2020,"3",25.4900000000002,0.254900000000002
"40-44",2021,"3",26.1800000000003,0.261800000000003
"40-44",2022,"3",26.8700000000003,0.268700000000003
"40-44",2023,"3",27.5600000000004,0.275600000000004
"40-44",2024,"3",28.2500000000005,0.282500000000005
"40-44",2025,"3",28.9400000000003,0.289400000000003
"40-44",2026,"3",29.6300000000003,0.296300000000003
"40-44",2027,"3",30.3200000000004,0.303200000000004
"40-44",2028,"3",31.0100000000004,0.310100000000004
"40-44",2029,"3",31.7000000000005,0.317000000000005
"40-44",2030,"3",32.3900000000006,0.323900000000006
"40-44",2031,"3",33.0800000000004,0.330800000000004
"40-44",2032,"3",33.7700000000004,0.337700000000004
"40-44",2033,"3",34.4600000000005,0.344600000000005
"40-44",2034,"3",35.1500000000005,0.351500000000005
"40-44",2035,"3",35.8400000000006,0.358400000000006
"40-44",2036,"3",36.5300000000004,0.365300000000004
"40-44",2037,"3",37.2200000000005,0.372200000000005
"40-44",2038,"3",37.9100000000005,0.379100000000005
"40-44",2039,"3",38.6000000000006,0.386000000000006
"40-44",2040,"3",39.2900000000006,0.392900000000006
"40-44",2020,"4",13.36,0.1336
"40-44",2021,"4",13.1999999999999,0.131999999999999
"40-44",2022,"4",13.0399999999999,0.130399999999999
"40-44",2023,"4",12.8799999999999,0.128799999999999
"40-44",2024,"4",12.7199999999999,0.127199999999999
"40-44",2025,"4",12.5599999999999,0.125599999999999
"40-44",2026,"4",12.3999999999999,0.123999999999999
"40-44",2027,"4",12.2399999999999,0.122399999999999
"40-44",2028,"4",12.0799999999999,0.120799999999999
"40-44",2029,"4",11.9199999999999,0.119199999999999
"40-44",2030,"4",11.7599999999999,0.117599999999999
"40-44",2031,"4",11.5999999999999,0.115999999999999
"40-44",2032,"4",11.4399999999999,0.114399999999999
"40-44",2033,"4",11.2799999999999,0.112799999999999
"40-44",2034,"4",11.1199999999998,0.111199999999998
"40-44",2035,"4",10.9599999999999,0.109599999999999
"40-44",2036,"4",10.7999999999998,0.107999999999998
"40-44",2037,"4",10.6399999999998,0.106399999999998
"40-44",2038,"4",10.4799999999998,0.104799999999998
"40-44",2039,"4",10.3199999999998,0.103199999999998
"40-44",2040,"4",10.1599999999998,0.101599999999998
"40-44",2020,"5+",11.4799999999996,0.114799999999996
"40-44",2021,"5+",10.0799999999995,0.100799999999995
"40-44",2022,"5+",8.67999999999938,0.0867999999999938
"40-44",2023,"5+",7.27999999999929,0.0727999999999929
"40-44",2024,"5+",5.8799999999992,0.058799999999992
"40-44",2025,"5+",4.47999999999956,0.0447999999999956
"40-44",2026,"5+",3.07999999999947,0.0307999999999947
"40-44",2027,"5+",1.67999999999938,0.0167999999999938
"40-44",2028,"5+",0.279999999999291,0.00279999999999291
"40-44",2029,"5+",0,0
"40-44",2030,"5+",0,0
"40-44",2031,"5+",0,0
"40-44",2032,"5+",0,0
"40-44",2033,"5+",0,0
"40-44",2034,"5+",0,0
"40-44",2035,"5+",0,0
"40-44",2036,"5+",0,0
"40-44",2037,"5+",0,0
"40-44",2038,"5+",0,0
"40-44",2039,"5+",0,0
"40-44",2040,"5+",0,0
"45-49",2020,"0",6.53999999999998,0.0653999999999998
"45-49",2021,"0",6.49999999999999,0.0649999999999999
"45-49",2022,"0",6.45999999999998,0.0645999999999998
"45-49",2023,"0",6.41999999999997,0.0641999999999997
"45-49",2024,"0",6.37999999999997,0.0637999999999997
"45-49",2025,"0",6.33999999999996,0.0633999999999996
"45-49",2026,"0",6.29999999999997,0.0629999999999997
"45-49",2027,"0",6.25999999999996,0.0625999999999996
"45-49",2028,"0",6.21999999999996,0.0621999999999996
"45-49",2029,"0",6.17999999999995,0.0617999999999995
"45-49",2030,"0",6.13999999999994,0.0613999999999994
"45-49",2031,"0",6.09999999999995,0.0609999999999995
"45-49",2032,"0",6.05999999999995,0.0605999999999995
"45-49",2033,"0",6.01999999999994,0.0601999999999994
"45-49",2034,"0",5.97999999999993,0.0597999999999993
"45-49",2035,"0",5.93999999999993,0.0593999999999993
"45-49",2036,"0",5.89999999999993,0.0589999999999993
"45-49",2037,"0",5.85999999999993,0.0585999999999993
"45-49",2038,"0",5.81999999999992,0.0581999999999992
"45-49",2039,"0",5.77999999999992,0.0577999999999992
"45-49",2040,"0",5.73999999999991,0.0573999999999991
"45-49",2020,"1",12.7300000000002,0.127300000000002
"45-49",2021,"1",13.3800000000003,0.133800000000003
"45-49",2022,"1",14.0300000000004,0.140300000000004
"45-49",2023,"1",14.6800000000003,0.146800000000003
"45-49",2024,"1",15.3300000000004,0.153300000000004
"45-49",2025,"1",15.9800000000005,0.159800000000005
"45-49",2026,"1",16.6300000000003,0.166300000000003
"45-49",2027,"1",17.2800000000004,0.172800000000004
"45-49",2028,"1",17.9300000000005,0.179300000000005
"45-49",2029,"1",18.5800000000004,0.185800000000004
"45-49",2030,"1",19.2300000000005,0.192300000000005
"45-49",2031,"1",19.8800000000006,0.198800000000006
"45-49",2032,"1",20.5300000000004,0.205300000000004
"45-49",2033,"1",21.1800000000005,0.211800000000005
"45-49",2034,"1",21.8300000000006,0.218300000000006
"45-49",2035,"1",22.4800000000005,0.224800000000005
"45-49",2036,"1",23.1300000000006,0.231300000000006
"45-49",2037,"1",23.7800000000007,0.237800000000007
"45-49",2038,"1",24.4300000000005,0.244300000000005
"45-49",2039,"1",25.0800000000006,0.250800000000006
"45-49",2040,"1",25.7300000000007,0.257300000000007
"45-49",2020,"2",28.9000000000001,0.289000000000001
"45-49",2021,"2",30.4400000000005,0.304400000000005
"45-49",2022,"2",31.9800000000005,0.319800000000005
"45-49",2023,"2",33.5200000000004,0.335200000000004
"45-49",2024,"2",35.0600000000004,0.350600000000004
"45-49",2025,"2",36.6000000000004,0.366000000000004
"45-49",2026,"2",38.1400000000003,0.381400000000003
"45-49",2027,"2",39.6800000000007,0.396800000000007
"45-49",2028,"2",41.2200000000007,0.412200000000007
"45-49",2029,"2",42.7600000000007,0.427600000000007
"45-49",2030,"2",44.3000000000006,0.443000000000006
"45-49",2031,"2",45.8400000000006,0.458400000000006
"45-49",2032,"2",47.3800000000006,0.473800000000006
"45-49",2033,"2",48.920000000001,0.48920000000001
"45-49",2034,"2",50.4600000000009,0.504600000000009
"45-49",2035,"2",52.0000000000009,0.520000000000009
"45-49",2036,"2",53.5400000000009,0.535400000000009
"45-49",2037,"2",55.0800000000008,0.550800000000008
"45-49",2038,"2",56.6200000000008,0.566200000000008
"45-49",2039,"2",58.1600000000012,0.581600000000012
"45-49",2040,"2",59.7000000000012,0.597000000000012
"45-49",2020,"3",23.9400000000001,0.239400000000001
"45-49",2021,"3",24.4200000000001,0.244200000000001
"45-49",2022,"3",24.9000000000001,0.249000000000001
"45-49",2023,"3",25.3800000000001,0.253800000000001
"45-49",2024,"3",25.8600000000001,0.258600000000001
"45-49",2025,"3",26.3400000000001,0.263400000000001
"45-49",2026,"3",26.8200000000001,0.2682
"45-49",2027,"3",27.3000000000001,0.273000000000001
"45-49",2028,"3",27.7800000000001,0.277800000000001
"45-49",2029,"3",28.2600000000001,0.282600000000001
"45-49",2030,"3",28.7400000000001,0.287400000000001
"45-49",2031,"3",29.2200000000001,0.292200000000001
"45-49",2032,"3",29.7,0.297
"45-49",2033,"3",30.1800000000001,0.301800000000001
"45-49",2034,"3",30.6600000000001,0.306600000000001
"45-49",2035,"3",31.1400000000001,0.311400000000001
"45-49",2036,"3",31.6200000000001,0.316200000000001
"45-49",2037,"3",32.1000000000001,0.321000000000001
"45-49",2038,"3",32.5800000000002,0.325800000000002
"45-49",2039,"3",33.0600000000001,0.330600000000001
"45-49",2040,"3",33.5400000000001,0.335400000000001
"45-49",2020,"4",12.4899999999998,0.124899999999998
"45-49",2021,"4",11.8999999999996,0.118999999999996
"45-49",2022,"4",11.3099999999997,0.113099999999997
"45-49",2023,"4",10.7199999999996,0.107199999999996
"45-49",2024,"4",10.1299999999997,0.101299999999997
"45-49",2025,"4",9.53999999999974,0.0953999999999974
"45-49",2026,"4",8.94999999999959,0.0894999999999959
"45-49",2027,"4",8.35999999999967,0.0835999999999967
"45-49",2028,"4",7.76999999999953,0.0776999999999953
"45-49",2029,"4",7.17999999999961,0.0717999999999961
"45-49",2030,"4",6.58999999999946,0.0658999999999946
"45-49",2031,"4",5.99999999999955,0.0599999999999955
"45-49",2032,"4",5.40999999999963,0.0540999999999963
"45-49",2033,"4",4.81999999999948,0.0481999999999948
"45-49",2034,"4",4.22999999999956,0.0422999999999956
"45-49",2035,"4",3.63999999999942,0.0363999999999942
"45-49",2036,"4",3.0499999999995,0.030499999999995
"45-49",2037,"4",2.45999999999958,0.0245999999999958
"45-49",2038,"4",1.86999999999944,0.0186999999999944
"45-49",2039,"4",1.27999999999952,0.0127999999999952
"45-49",2040,"4",0.689999999999372,0.00689999999999372
"45-49",2020,"5+",15.4899999999989,0.154899999999989
"45-49",2021,"5+",13.4599999999991,0.134599999999991
"45-49",2022,"5+",11.4299999999985,0.114299999999985
"45-49",2023,"5+",9.39999999999873,0.0939999999999873
"45-49",2024,"5+",7.36999999999898,0.0736999999999898
"45-49",2025,"5+",5.33999999999833,0.0533999999999833
"45-49",2026,"5+",3.30999999999858,0.0330999999999858
"45-49",2027,"5+",1.27999999999884,0.0127999999999884
"45-49",2028,"5+",0,0
"45-49",2029,"5+",0,0
"45-49",2030,"5+",0,0
"45-49",2031,"5+",0,0
"45-49",2032,"5+",0,0
"45-49",2033,"5+",0,0
"45-49",2034,"5+",0,0
"45-49",2035,"5+",0,0
"45-49",2036,"5+",0,0
"45-49",2037,"5+",0,0
"45-49",2038,"5+",0,0
"45-49",2039,"5+",0,0
"45-49",2040,"5+",0,0
