"Age_cat","Year","Num_child","Percentage","probs"
"20-24",2030,"1",9.21999999999889,0.0921999999999889
"20-24",2031,"1",7.63999999999896,0.0763999999999896
"20-24",2032,"1",6.05999999999904,0.0605999999999904
"20-24",2033,"1",4.47999999999865,0.0447999999999865
"20-24",2034,"1",2.89999999999873,0.0289999999999873
"20-24",2035,"1",1.3199999999988,0.013199999999988
"20-24",2036,"1",0,0
"20-24",2037,"1",0,0
"20-24",2038,"1",0,0
"20-24",2039,"1",0,0
"20-24",2040,"1",0,0
"20-24",2020,"2",8.53999999999951,0.0853999999999951
"20-24",2021,"2",7.77999999999952,0.0777999999999952
"20-24",2022,"2",7.01999999999953,0.0701999999999953
"20-24",2023,"2",6.25999999999954,0.0625999999999954
"20-24",2024,"2",5.49999999999955,0.0549999999999955
"20-24",2025,"2",4.73999999999955,0.0473999999999955
"20-24",2026,"2",3.97999999999956,0.0397999999999956
"20-24",2027,"2",3.21999999999957,0.0321999999999957
"20-24",2028,"2",2.45999999999935,0.0245999999999935
"20-24",2029,"2",1.69999999999936,0.0169999999999936
"20-24",2030,"2",0.939999999999372,0.00939999999999372
"20-24",2031,"2",0.179999999999382,0.00179999999999382
"20-24",2032,"2",0,0
"20-24",2033,"2",0,0
"20-24",2034,"2",0,0
"20-24",2035,"2",0,0
"20-24",2036,"2",0,0
"20-24",2037,"2",0,0
"20-24",2038,"2",0,0
"20-24",2039,"2",0,0
"20-24",2040,"2",0,0
"20-24",2020,"3",1.39999999999986,0.0139999999999986
"20-24",2021,"3",1.11999999999989,0.0111999999999989
"20-24",2022,"3",0.839999999999918,0.00839999999999918
"20-24",2023,"3",0.559999999999832,0.00559999999999832
"20-24",2024,"3",0.279999999999859,0.00279999999999859
"20-24",2025,"3",0,0
"20-24",2026,"3",0,0
"20-24",2027,"3",0,0
"20-24",2028,"3",0,0
"20-24",2029,"3",0,0
"20-24",2030,"3",0,0
"20-24",2031,"3",0,0
"20-24",2032,"3",0,0
"20-24",2033,"3",0,0
"20-24",2034,"3",0,0
"20-24",2035,"3",0,0
"20-24",2036,"3",0,0
"20-24",2037,"3",0,0
"20-24",2038,"3",0,0
"20-24",2039,"3",0,0
"20-24",2040,"3",0,0
"20-24",2020,"4",0.21999999999997,0.0021999999999997
"20-24",2021,"4",0.179999999999978,0.00179999999999978
"20-24",2022,"4",0.139999999999972,0.00139999999999972
"20-24",2023,"4",0.0999999999999659,0.000999999999999659
"20-24",2024,"4",0.0599999999999739,0.000599999999999739
"20-24",2025,"4",0.0199999999999676,0.000199999999999676
"20-24",2026,"4",0,0
"20-24",2027,"4",0,0
"20-24",2028,"4",0,0
"20-24",2029,"4",0,0
"20-24",2030,"4",0,0
"20-24",2031,"4",0,0
"20-24",2032,"4",0,0
"20-24",2033,"4",0,0
"20-24",2034,"4",0,0
"20-24",2035,"4",0,0
"20-24",2036,"4",0,0
"20-24",2037,"4",0,0
"20-24",2038,"4",0,0
"20-24",2039,"4",0,0
"20-24",2040,"4",0,0
"20-24",2020,"5+",0.0599999999999985,0.000599999999999985
"20-24",2021,"5+",0.059999999999998,0.00059999999999998
"20-24",2022,"5+",0.0599999999999975,0.000599999999999975
"20-24",2023,"5+",0.059999999999997,0.00059999999999997
"20-24",2024,"5+",0.0599999999999965,0.000599999999999965
"20-24",2025,"5+",0.059999999999996,0.00059999999999996
"20-24",2026,"5+",0.0599999999999955,0.000599999999999955
"20-24",2027,"5+",0.059999999999995,0.00059999999999995
"20-24",2028,"5+",0.0599999999999945,0.000599999999999945
"20-24",2029,"5+",0.059999999999994,0.00059999999999994
"20-24",2030,"5+",0.0599999999999935,0.000599999999999935
"20-24",2031,"5+",0.059999999999993,0.00059999999999993
"20-24",2032,"5+",0.0599999999999925,0.000599999999999925
"20-24",2033,"5+",0.059999999999992,0.00059999999999992
"20-24",2034,"5+",0.0599999999999915,0.000599999999999915
"20-24",2035,"5+",0.059999999999991,0.00059999999999991
"20-24",2036,"5+",0.0599999999999905,0.000599999999999905
"20-24",2037,"5+",0.05999999999999,0.0005999999999999
"20-24",2038,"5+",0.0599999999999895,0.000599999999999895
"20-24",2039,"5+",0.059999999999989,0.00059999999999989
"20-24",2040,"5+",0.0599999999999885,0.000599999999999885
"25-29",2020,"0",33.6400000000008,0.336400000000008
"25-29",2021,"0",35.4200000000005,0.354200000000005
"25-29",2022,"0",37.2000000000007,0.372000000000007
"25-29",2023,"0",38.9800000000009,0.389800000000009
"25-29",2024,"0",40.7600000000007,0.407600000000007
"25-29",2025,"0",42.5400000000009,0.425400000000009
"25-29",2026,"0",44.3200000000011,0.443200000000011
"25-29",2027,"0",46.1000000000008,0.461000000000008
"25-29",2028,"0",47.880000000001,0.47880000000001
"25-29",2029,"0",49.6600000000012,0.496600000000012
"25-29",2030,"0",51.440000000001,0.51440000000001
"25-29",2031,"0",53.2200000000012,0.532200000000012
"25-29",2032,"0",55.0000000000014,0.550000000000014
"25-29",2033,"0",56.7800000000011,0.567800000000011
"25-29",2034,"0",58.5600000000013,0.585600000000013
"25-29",2035,"0",60.3400000000011,0.603400000000011
"25-29",2036,"0",62.1200000000013,0.621200000000013
"25-29",2037,"0",63.9000000000015,0.639000000000015
"25-29",2038,"0",65.6800000000012,0.656800000000012
"25-29",2039,"0",67.4600000000014,0.674600000000014
"25-29",2040,"0",69.2400000000016,0.692400000000016
"25-29",2020,"1",32.2999999999999,0.322999999999999
"25-29",2021,"1",32.1799999999999,0.321799999999999
"25-29",2022,"1",32.0599999999999,0.320599999999999
"25-29",2023,"1",31.9399999999999,0.319399999999999
"25-29",2024,"1",31.8199999999999,0.318199999999999
"25-29",2025,"1",31.6999999999999,0.316999999999999
"25-29",2026,"1",31.5799999999999,0.315799999999999
"25-29",2027,"1",31.4599999999999,0.314599999999999
"25-29",2028,"1",31.3399999999999,0.313399999999999
"25-29",2029,"1",31.2199999999999,0.312199999999999
"25-29",2030,"1",31.0999999999999,0.310999999999999
"25-29",2031,"1",30.9799999999999,0.309799999999999
"25-29",2032,"1",30.8599999999999,0.308599999999999
"25-29",2033,"1",30.7399999999999,0.307399999999999
"25-29",2034,"1",30.6199999999999,0.306199999999999
"25-29",2035,"1",30.4999999999999,0.304999999999999
"25-29",2036,"1",30.3799999999999,0.303799999999999
